reaction,chloride_M,dG_cond_kcal_mol
hgcl2_to_sme3,0.0001,-72.23147023566578
hgcl2_to_sme3,0.0003,-70.92964774245289
hgcl2_to_sme3,0.001,-69.50297620959729
hgcl2_to_sme3,0.003,-68.2011537163844
hgcl2_to_sme3,0.01,-66.77448218352882
hgcl2_to_sme3,0.03,-65.47265969031592
hgcl2_to_sme3,0.1,-64.04598815746034
hgcl2_to_sme3,0.3,-62.74416566424745
hgcl2_to_sme3,1.0,-61.31749413139187
hgcl3_to_sme3,0.0001,-36.77331175114328
hgcl3_to_sme3,0.0003,-34.82057801132394
hgcl3_to_sme3,0.001,-32.68057071204056
hgcl3_to_sme3,0.003,-30.72783697222122
hgcl3_to_sme3,0.01,-28.58782967293785
hgcl3_to_sme3,0.03,-26.635095933118507
hgcl3_to_sme3,0.1,-24.495088633835135
hgcl3_to_sme3,0.3,-22.54235489401579
hgcl3_to_sme3,1.0,-20.40234759473242
hgcl4_to_sme3,0.0001,-90.46380029650494
hgcl4_to_sme3,0.0003,-87.86015531007915
hgcl4_to_sme3,0.001,-85.00681224436799
hgcl4_to_sme3,0.003,-82.4031672579422
hgcl4_to_sme3,0.01,-79.54982419223104
hgcl4_to_sme3,0.03,-76.94617920580525
hgcl4_to_sme3,0.1,-74.09283614009408
hgcl4_to_sme3,0.3,-71.48919115366829
hgcl4_to_sme3,1.0,-68.63584808795713
